20:24:35.118 [main] INFO  org.eclipse.jetty.server.Server - jetty-9.2.15.v20160210
20:24:35.421 [main] INFO  /messenger - No Spring WebApplicationInitializer types detected on classpath
20:24:35.494 [main] INFO  org.eclipse.jetty.server.handler.ContextHandler - Started o.e.j.w.WebAppContext@157632c9{/messenger,file:/D:/JD2H/messenger/web/src/main/webapp/,AVAILABLE}{src/main/webapp}
20:24:35.556 [main] INFO  org.eclipse.jetty.server.ServerConnector - Started ServerConnector@222545dc{HTTP/1.1}{0.0.0.0:8081}
20:24:35.556 [main] INFO  org.eclipse.jetty.server.Server - Started @1130ms
21:12:01.192 [main] INFO  org.eclipse.jetty.util.log - Logging initialized @588ms
21:12:01.285 [main] INFO  org.eclipse.jetty.server.Server - jetty-9.2.15.v20160210
21:12:01.599 [main] INFO  /messenger - No Spring WebApplicationInitializer types detected on classpath
21:12:01.678 [main] INFO  org.eclipse.jetty.server.handler.ContextHandler - Started o.e.j.w.WebAppContext@157632c9{/messenger,file:/D:/JD2H/messenger/web/src/main/webapp/,AVAILABLE}{src/main/webapp}
21:12:01.731 [main] INFO  org.eclipse.jetty.server.ServerConnector - Started ServerConnector@222545dc{HTTP/1.1}{0.0.0.0:8081}
21:12:01.732 [main] INFO  org.eclipse.jetty.server.Server - Started @1120ms
21:13:57.584 [main] INFO  org.eclipse.jetty.util.log - Logging initialized @615ms
21:13:57.678 [main] INFO  org.eclipse.jetty.server.Server - jetty-9.2.15.v20160210
21:13:58.007 [main] INFO  /messenger - No Spring WebApplicationInitializer types detected on classpath
21:13:58.086 [main] INFO  org.eclipse.jetty.server.handler.ContextHandler - Started o.e.j.w.WebAppContext@157632c9{/messenger,file:/D:/JD2H/messenger/web/src/main/webapp/,AVAILABLE}{src/main/webapp}
21:13:58.132 [main] INFO  org.eclipse.jetty.server.ServerConnector - Started ServerConnector@222545dc{HTTP/1.1}{0.0.0.0:8081}
21:13:58.132 [main] INFO  org.eclipse.jetty.server.Server - Started @1167ms
21:14:43.088 [main] INFO  org.eclipse.jetty.util.log - Logging initialized @636ms
21:14:43.182 [main] INFO  org.eclipse.jetty.server.Server - jetty-9.2.15.v20160210
21:14:43.511 [main] INFO  /messenger - No Spring WebApplicationInitializer types detected on classpath
21:14:43.600 [main] INFO  org.eclipse.jetty.server.handler.ContextHandler - Started o.e.j.w.WebAppContext@157632c9{/messenger,file:/D:/JD2H/messenger/web/src/main/webapp/,AVAILABLE}{src/main/webapp}
21:14:43.651 [main] INFO  org.eclipse.jetty.server.ServerConnector - Started ServerConnector@222545dc{HTTP/1.1}{0.0.0.0:8081}
21:14:43.651 [main] INFO  org.eclipse.jetty.server.Server - Started @1194ms
21:19:42.713 [main] INFO  org.eclipse.jetty.util.log - Logging initialized @623ms
21:19:42.812 [main] INFO  org.eclipse.jetty.server.Server - jetty-9.2.15.v20160210
21:19:43.106 [main] INFO  /messenger - No Spring WebApplicationInitializer types detected on classpath
21:19:43.186 [main] INFO  org.eclipse.jetty.server.handler.ContextHandler - Started o.e.j.w.WebAppContext@157632c9{/messenger,file:/D:/JD2H/messenger/web/src/main/webapp/,AVAILABLE}{src/main/webapp}
21:19:43.249 [main] INFO  org.eclipse.jetty.server.ServerConnector - Started ServerConnector@222545dc{HTTP/1.1}{0.0.0.0:8081}
21:19:43.249 [main] INFO  org.eclipse.jetty.server.Server - Started @1171ms
21:23:57.713 [main] INFO  org.eclipse.jetty.util.log - Logging initialized @630ms
21:23:57.801 [main] INFO  org.eclipse.jetty.server.Server - jetty-9.2.15.v20160210
21:23:58.102 [main] INFO  /messenger - No Spring WebApplicationInitializer types detected on classpath
21:23:58.184 [main] INFO  org.eclipse.jetty.server.handler.ContextHandler - Started o.e.j.w.WebAppContext@157632c9{/messenger,file:/D:/JD2H/messenger/web/src/main/webapp/,AVAILABLE}{src/main/webapp}
21:23:58.245 [main] INFO  org.eclipse.jetty.server.ServerConnector - Started ServerConnector@222545dc{HTTP/1.1}{0.0.0.0:8081}
21:23:58.245 [main] INFO  org.eclipse.jetty.server.Server - Started @1170ms
